layer,branch,top1_top2_full,gold_full
0,full_raw,2.4751510620117188,-26.965065002441406
1,full_raw,2.5733280181884766,-28.573904037475586
2,full_raw,1.7928714752197266,-27.440296173095703
3,full_raw,1.4785785675048828,-28.423553466796875
4,full_raw,0.5889205932617188,-29.99169921875
5,full_raw,0.648040771484375,-32.099761962890625
6,full_raw,4.2719831466674805,-34.795955657958984
7,full_raw,1.2987070083618164,-31.638572692871094
8,full_raw,1.883279800415039,-36.825679779052734
9,full_raw,6.2324113845825195,-41.83603286743164
10,full_raw,2.1328306198120117,-42.55189514160156
11,full_raw,8.693612098693848,-49.264686584472656
12,full_raw,10.68299388885498,-51.49476623535156
13,full_raw,15.898016929626465,-67.97930908203125
14,full_raw,17.39736557006836,-75.30569458007812
15,full_raw,22.34918975830078,-92.3697738647461
16,full_raw,23.023706436157227,-110.64413452148438
17,full_raw,22.892017364501953,-141.909423828125
18,full_raw,10.037933349609375,-161.01730346679688
19,full_raw,8.64556884765625,-199.899169921875
20,full_raw,3.0497817993164062,-228.37689208984375
21,full_raw,3.3987884521484375,-292.38702392578125
22,full_raw,0.2613372802734375,-395.5823059082031
23,full_raw,0.0431976318359375,-6.6813812255859375
0,full_tuned,0.36163330078125,-4.0527191162109375
1,full_tuned,0.18719482421875,-3.8449249267578125
2,full_tuned,0.3063507080078125,-3.893035888671875
3,full_tuned,0.176788330078125,-3.68450927734375
4,full_tuned,0.2950897216796875,-3.6012725830078125
5,full_tuned,0.217315673828125,-3.7491912841796875
6,full_tuned,0.432403564453125,-3.8256683349609375
7,full_tuned,0.3141632080078125,-3.9324798583984375
8,full_tuned,0.290618896484375,-3.7960968017578125
9,full_tuned,0.3615264892578125,-3.7821807861328125
10,full_tuned,0.424072265625,-3.7369537353515625
11,full_tuned,0.3907012939453125,-3.65924072265625
12,full_tuned,0.401397705078125,-3.570343017578125
13,full_tuned,0.539276123046875,-3.9198455810546875
14,full_tuned,0.66998291015625,-3.9784088134765625
15,full_tuned,0.7181549072265625,-3.98724365234375
16,full_tuned,0.2645721435546875,-4.0277862548828125
17,full_tuned,0.7920989990234375,-4.2574615478515625
18,full_tuned,0.5993499755859375,-4.23956298828125
19,full_tuned,0.0004425048828125,-4.292572021484375
20,full_tuned,0.236480712890625,-5.9310150146484375
21,full_tuned,0.04437255859375,-6.4802093505859375
22,full_tuned,0.0437164306640625,-4.4521026611328125
23,full_tuned,0.2894744873046875,-4.3834991455078125
